"Peinture et rénovation","id ancienne categorie","nom acienne categorie"
"Cireuse",59,"Cireuse"
"Cloueuse",112,"Cloueuse"
"Cristalliseuse",1003,"Cristalliseuse"
"Décapeuse",60,"Décapeuse"
"Décolleuse",61,"Décolleuse"
"Gratte papier",110,"Gratte papier"
"Pistolet à peinture",114,"Pistolet à peinture"
"Table à tapisser",1007,"Table à tapisser"
"Pistolet à colle",1016,"Pistolet à colle"
"Mélangeur à peinture",,
"Climatisation et Chauffage","id ancienne categorie","nom acienne categorie"
"Chauffage",55,"Chauffage électrique"
"Déshumificateur",57,"Déhumidificateur"
"Ventilateur",56,"Ventilateur"
"Netoyage et entretien","id ancienne categorie","nom acienne categorie"
"Aspirateur",120,"Aspirateur"
"Déboucheur de canalisations",121,"Déboucheur de canalisations"
"Nettoyeur haute pression",122,"Nettoyeur haute pression"
"Nettoyeur vapeur",608,"Nettoyeur Vapeur"
"Pompe immergée",118,"Pompe immergée"
"Pompe submersible",117,"Pompe submersible"
"Shampouineuse",123,"Shampouineuse"
"Balayeuse",140,"Balayeuse"
"Mesure et détection","id ancienne categorie","nom acienne categorie"
"Compressiomètre",171,"Compressiomètre"
"Détecteur de métaux",164,"Détecteur de métaux"
"Détecteur d\'humidité",165,"Détecteur d\'humidité"
"Hygromètre",168,"Hygromètre"
"Laser",166,"Laser"
"Multifaisceaux",170,"Multifaisceaux"
"Sonomètre",167,"Sonomètre"
"Soudure et plomberie",172,"Soudure et plomberie"
"Theodolite",169,"Theodolite"
"Niveau à bulle",,
"Niveau laser",,
"Plomberie et converture","id ancienne categorie","nom acienne categorie"
"Poste à souder à flamme",,
"Bruleur à goudron",998,"Bruleur à goudron"
"Détartreuse",1004,"Détartreuse"
"Coupe tube",,
"Deboucheur",,
"Outil d'assemblage de plombier",,
"Outil de cintrage",,
"Outillage d'atelier","id ancienne categorie","nom acienne categorie"
"Combiné à bois",,
"Dégauchisseuse-raboteuses",,
"Aspirateur pour machine à bois",,
"Mortaiseuse à bédane",81,"Mortaiseuse"
"Ponceuse stationnaire",32,"Ponceuse"
"Scie à chantourner",,
"Scie à onglets électrique",,
"Scie à ruban",,
"Scie circulaire de table",34,"Scie circulaire"
"Toupie",,
"Tours à bois et à métaux",,
"Tronçonneuse à métaux",39,"Tronçonneuse"
"Compresseur",,
"Echafaudage d'intérieur",,
"Escabeau et marchepied",,
"Groupe électrogène",105,"Groupe électrogène"
"Perceuse à colonne",,
"Touret",69,"Touret"
"Treuil et palan",129,"Treuil"
"Fer à souder electrique",,
"Poste à souder à l'arc",,
"Outillage à main","id ancienne categorie","nom acienne categorie"
"Chasse-pointe et chasse goupille",,
"Ciseaux à bois",,
"Clés",92,"Clefs et jeux de clefs"
"Cliquet et douille",,
"Emporte prièce",,
"Lime et râpe",,
"Marteau",49,"Marteaux"
"Mètre",,
"Outillage de démolition",,
"Perceuse à main",,
"Pince et tenaille",50,"Pinces et tenailles"
"Pointeaux",,
"Rabot à main",,
"Tamponnoir",,
"Taraud et filière",,
"Télémètre",,
"Tournevis",,
"Maillet",,
"Construction","id ancienne categorie","nom acienne categorie"
"Fils à plomb",,
"Machine à crépir",,
"Platoir",,
"Regle de maçon",,
"Seau et auge",,
"Serre-joints",,
"Taloche",,
"Tamis",,
"Truelle",,
"bac à gâcher",,
"Bétonnière",64,"Bétonnière"
"Echafaudage",136,"Echafaudages"
"Echelle",,
"Etai et tréteau",,
"Goulotte d'évacuation","?101?",
"Lève plaque",,
"Monte-charge",141,"Monte matériaux"
"Pelle, pioche et tarière",153,"Pelle"
"Vitrerie","id ancienne categorie","nom acienne categorie"
"Appareil à vitrer",,
"Ventouse",1009,"Ventouse"
"Outillage éléctroportatif","id ancienne categorie","nom acienne categorie"
"Défonceuse",1005,"Défonceuse"
"Policeusse",1006,"Policeusse"
"Ponceuse",32,"Ponceuse"
"Décapeur",60,"Décapeuse"
"Meuleuse",33,"Meuleuse"
"Perceuse filaire",,
"Perceuse sans fil",,
"Perforateur",68,"Perforateur"
"Rabot éléectrique",95,"Rabot"
"Scie circulaire",34,"Scie circulaire"
"Scie cloche",,
"Scie égoïne",,
"Scie sauteuse",35,"Scie sauteuse"
"Visseuse et tournevis sans fil",36,"Visseuse dévisseuse"
"Camion","id ancienne categorie","nom acienne categorie"
"Utilitaire","836-842","petit utilitaire (-5m3), utilitaires transformés"
"Fourgon petit volume",837,"Camionnette et fourgon (5 m3 et +)"
"Remorque","id ancienne categorie","nom acienne categorie"
"Remorque à bateau",884,"Remorque Bateau"
"Remorque moto",883,"Remorque Moto"
"Remorque animaux",888,"Remorque pour animaux"
"Tracteur",151,"Tracteur"
"Engins agricoles","id ancienne categorie","nom acienne categorie"
"Tracteur",151,"Tracteur"
"Matériel de fenaison",,
"Appareil de manutention",,
"Outil du sol",,
"Outil d'épandage",,
"Matériel de transport",,
"Matériel de récolte",,
"Matérieil d'elevage",,
"Semoir",,
"Transport de personne","id ancienne categorie","nom acienne categorie"
"Autocar",882,"Autocar/Bus"
"Minibus",839,"Minibus"
"Transport de loisir","id ancienne categorie","nom acienne categorie"
"Caravane",814,"Caravane"
"Camping-car",815,"Camping Car"
"Camion aménagé",,
"Voiture","id ancienne categorie","nom acienne categorie"
"Voiture de tourisme",871,"Voiture/Break"
"Voiture de luxe",876,"Voiture de sport/luxe"
"Voiture ancienne",878,"Voitures d\'exception/anciennes"
"Voiture avec chauffeur",880,"Voiture avec chauffeur"
"Voiture électrique",877,"Voiture électrique"
"Voiture sans permis",875,"Voiture sans permis"
"Moto","id ancienne categorie","nom acienne categorie"
"Enduro et cross",,
"Roadster",,
"Routière",,
"Side-car",,
"Sportive",,
"Supermotard",,
"Trial",,
"Quad",,
"Scooter","id ancienne categorie","nom acienne categorie"
"50 Cc",848,"Scooter - de 125cm3"
"125 Cc",851,"Moto 125cm3 et +"
"Maxi scooter",,
"Accesoires autos","id ancienne categorie","nom acienne categorie"
"Gallerie",887,"Gallerie"
"Attelage",886,"Attelage"
"GPS voiture",458,"GPS automobile"
"Siege enfant",,
"Télévision","id ancienne categorie","nom acienne categorie"
"TV LCD",523,"TV"
"TV LED",523,"TV"
"Plasma",,
"accessoires TV",,
"Projecteur","id ancienne categorie","nom acienne categorie"
"Video project",,
"Projecteur diapo",521,"Rétroprojecteur"
"Projecteur de transparent",525,"Projecteur transparent"
"Home cinema","id ancienne categorie","nom acienne categorie"
"Système 2.1",,
"Système 5.1",,
"Bare de son",,
"Baladeur","id ancienne categorie","nom acienne categorie"
"iPod",,
"Lecteur MP3/MP4",566,"Lecteur MP3/MP4"
"Accesoires baladeur",,
"Enceinte Ipod Iphone",,
"Enceinte portative",577,
"Hifi","id ancienne categorie","nom acienne categorie"
"Chaines Hifi",567,"Chaîne hifi"
"Amplificateur",915,"Amplificateurs, Condensateurs"
"Lecteur CD de salon",569,"Lecteur CD"
"Platine vinyle",,
"Tuner",,
"Système audio sans fil",,
"Enceintes",231,"Enceinte"
"Casque","id ancienne categorie","nom acienne categorie"
"Casque portable",575,"Casque et écouteur"
"Casque Hifi TV",,
"Casques sans fil",,
"Micro","id ancienne categorie","nom acienne categorie"
"Micro filaire",234,"Microphone"
"Micro sans fil",,
"Equipement DJ","id ancienne categorie","nom acienne categorie"
"Amplificateurs",,
"Blocs de puissance",,
"Casques",,
"Cellules DJ",,
"Connectique",,
"Consoles USB",,
"Controleur DMX",,
"Effets son",,
"Enceinte DJ",,
"Subwoofer",,
"Eclairage","id ancienne categorie","nom acienne categorie"
"Laser",,
"Led",,
"Lyres",,
"Stroboscope",245,
